"","vin","stock_number","is_new","year","make","model","body_style","trim","odometer","color","color","price","image_url","url","interior_color","fuel_type"
48,"3C3CFFGE7ET294561","A49703GT",False,2014,"Fiat","500e","","Hatchback 3D",36400,"Beige","",11989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/e9fa1c71b45388f01077d77f48a89c64e0085182.jpg","https://dealer.vip/RBtWwt4JCCFa","",""
49,"KL79MMS27MB082947","A49700GT",False,2021,"Chevrolet","TrailBlazer","","Utility 4D L",32526,"White","",22989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/def1d4247165dc84bd460f82591576b42f8e5a5f.jpg","https://dealer.vip/8Pua5d_uiPcK","",""
50,"JN8AY2ND9J9051776","A49712NP",False,2018,"Nissan","Armada","","SL 5.6L V8",94004,"White","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/fc6d8ad91e0c791af65e053dd4951df89f6f7c77.jpg","https://dealer.vip/k-mYtEMqwDoC","",""
51,"1FTEX1EPXJKD79253","A49704GT",False,2018,"Ford","F-150","","Extended Cab",88241,"Gold","",26989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/32c40f0e9f0c12daf50e3222d18a0edd93669d0f.jpg","https://dealer.vip/LRmIxivTG6_z","",""
52,"3GKALMEV4ML336786","A49713PT",False,2021,"GMC","Terrain","","Utility 4D S",34533,"Gold","",27060.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/395ab44e0502c6b3eb3a18bc6da82e6b8cd8bc49.jpg","https://dealer.vip/B0EYIPJwD67j","",""
53,"1G1FA1RS2G0150907","A49702GT",False,2016,"Chevrolet","Camaro","","Coupe 2D LT ",89345,"Gold","",19989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/c3b3749caac42fe00295b93028fe8d8fa6627971.jpg","https://dealer.vip/N-p5D5N9RWgf","",""
54,"1C6RR7PT5ES300786","A49701GT",False,2014,"Ram","Ram 1500","","Crew Cab Lon",159801,"Gold","",19989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/e0104230f2c1f00b93f975e4b9e7d8197f9f048e.jpg","https://dealer.vip/9avvU2di3Pd7","",""
55,"1C3CCBAB3CN100377","A49699PT",False,2012,"Chrysler","200","","Sedan 4D LX ",150657,"Gold","",7300.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/94c17711f60676fbd50b7e15854b9756e009be1e.jpg","https://dealer.vip/RkBitOShh3K7","",""
56,"2GNALBEK3E6377221","A49689ET",False,2014,"Chevrolet","Equinox","","Utility 4D L",147880,"Gold","",9800.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ac2d5085d707c0ff098cbea0bf64c49de61b73be.jpg","https://dealer.vip/z0vhCtKaOHgz","",""
57,"1GCPTDE1XG1319778","A49691PT",False,2016,"Chevrolet","Colorado","","Crew Cab Z71",76121,"Gold","",26300.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/decb30fd0db45b40f89f5119af9bfde20afc6ff9.jpg","https://dealer.vip/sIFG74e2REOW","",""
